strain_id	year_isolated	country	region	prn	prn_def	ptxP	ptxA	fim2	fim3	FIM_sero
B001	1969	Argentina	NA	1	NA	1	1	1	1	NA
B002	2000	Argentina	NA	6/10	NA	4	5	1	1	NA
B003	2000	Argentina	NA	2	NA	3	1	1	2	NA
B004	2000	Argentina	NA	1	NA	1	1	1	1	NA
B005	2001	Argentina	NA	1	NA	1	1	1	1	NA
B006	2001	Argentina	NA	2	NA	3	1	1	2	NA
B007	NA	Argentina	NA	NA	NA	1	2	1	1	NA
B008	2003	Argentina	NA	1	NA	1	1	1	4	NA
B009	2005	Argentina	NA	NA	NA	3	1	1	2	NA
B010	2006	Argentina	NA	2	NA	3	1	1	2	NA
B011	2007	Argentina	NA	2	NA	3	1	1	2	NA
B012	2008	Argentina	NA	2	NA	3	1	1	2	NA
B013	NA	Argentina	NA	NA	NA	1	1	1	1	NA
B014	1971	Australia	NA	1	NA	1	1	1	1	NA
B015	1971	Australia	NA	1	NA	1	6	1	1	NA
B016	1974	Australia	NA	1	NA	1	1	1	1	NA
B017	1977	Australia	NA	1	NA	1	1	1	1	NA
B018	1977	Australia	NA	1	NA	1	1	1	1	NA
B019	1978	Australia	NA	1	NA	1	1	1	1	NA
B020	1982	Australia	NA	11	NA	1	1	1	1	NA
B021	1989	Australia	NA	1	NA	1	6	1	1	NA
B022	1989	Australia	NA	3	NA	1	1	1	1	NA
B023	1989	Australia	NA	1	NA	1	6	1	1	NA
B024	1989	Australia	NA	3	NA	1	1	1	1	NA
B025	1990	Australia	NA	3	NA	1	1	1	1	NA
B026	1995	Australia	NA	1	NA	1	1	1	1	NA
B027	1995	Australia	NA	1	NA	1	1	1	1	NA
B028	1995	Australia	NA	3	NA	1	1	1	1	NA
B029	1996	Australia	NA	1	NA	1	1	2	1	NA
B030	1997	Australia	NA	2	NA	3	1	1	1	NA
B031	1997	Australia	NA	3	NA	1	1	1	1	NA
B032	1997	Australia	NA	1	NA	1	1	2	1	NA
B033	1998	Australia	NA	3	NA	1	1	1	1	NA
B034	1998	Australia	NA	2	NA	1	1	1	1	NA
B035	1998	Australia	NA	1	NA	1	1	2	1	NA
B036	1998	Australia	NA	1	NA	1	1	2	1	NA
B037	2000	Australia	NA	1	NA	1	1	1	1	NA
B038	2000	Australia	NA	3	NA	1	1	1	1	NA
B039	2000	Australia	NA	1	NA	1	1	1	1	NA
B040	2000	Australia	NA	1	NA	1	1	2	1	NA
B041	NA	Australia	NA	1	NA	0	0	2	1	NA
B042	2002	Australia	NA	1	NA	1	1	1	1	NA
B043	2002	Australia	NA	3	NA	1	1	1	1	NA
B044	2002	Australia	NA	1	NA	1	1	2	1	NA
B045	NA	Australia	NA	2	NA	1	1	1	1	NA
B046	2004	Australia	NA	3	NA	1	1	1	1	NA
B047	2004	Australia	NA	2	NA	1	1	1	1	NA
B048	2006	Australia	NA	1	NA	1	1	1	1	NA
B049	2007	Australia	NA	2	NA	3	1	1	2	NA
B050	2007	Australia	NA	16	NA	1	2	1	1	NA
B051	1994	Canada	NA	2	NA	3	1	1	2	NA
B052	1995	Canada	NA	2	NA	3	1	1	1	NA
B053	1995	Canada	NA	3	NA	1	1	1	1	NA
B054	1995	Canada	NA	1	NA	1	2	1	1	NA
B055	2000	Canada	NA	2	NA	3	1	1	2	NA
B056	2001	Canada	NA	2	NA	3	1	1	3	NA
B057	2001	Canada	NA	1	NA	1	2	1	1	NA
B058	2001	Canada	NA	1	NA	1	2	1	1	NA
B059	2001	Canada	NA	2	NA	3	1	1	1	NA
B060	2001	Canada	NA	3	NA	1	1	1	1	NA
B061	2001	Canada	NA	2	NA	3	1	1	2	NA
B062	2001	Canada	NA	2	NA	3	1	1	2	NA
B063	2002	Canada	NA	2	NA	3	9	1	1	NA
B064	2002	Canada	NA	3	NA	1	1	1	1	NA
B065	2004	Canada	NA	2	NA	3	1	1	6	NA
B066	2004	Canada	NA	1	NA	1	1	1	4	NA
B067	2005	Canada	NA	3	NA	3	1	1	2	NA
B068	1957	China	NA	NA	NA	1	2	1	1	NA
B069	1957	China	NA	1	NA	1	2	1	1	NA
B070	1962	Denmark	NA	1	NA	1	1	1	1	NA
B071	1968	Denmark	NA	3	NA	1	1	1	1	NA
B072	1974	Denmark	NA	1	NA	1	1	1	1	NA
B073	2001	Denmark	NA	2	NA	1	1	1	1	NA
