strain_id	year_isolated	country	region	prn	prn_def	ptxP	ptxA	fim2	fim3	FIM_sero
1	118	1997	Japan	Kanto	1	-	NA	2	NA	NA	3
2	59	2000	Japan	Kanto	1	-	NA	2	NA	NA	3
3	63	2000	Japan	Kanto	1	-	NA	2	NA	NA	3
4	64	2000	Japan	Kanto	1	-	NA	2	NA	NA	3
5	115	2000	Japan	Kanto	1	-	NA	2	NA	NA	3
6	141	2002	Japan	Tohoku	1	-	NA	2	NA	NA	3
7	152	2002	Japan	Kanto	1	-	NA	2	NA	NA	3
8	155	2002	Japan	Kinki	1	-	NA	2	NA	NA	3
9	202	2003	Japan	Kyushu	1	-	NA	2	NA	NA	2,3
10	214	2003	Japan	Kanto	1	-	NA	2	NA	NA	3
11	215	2003	Japan	Kanto	1	-	NA	2	NA	NA	2,3
12	232	2004	Japan	Kanto	1	-	NA	2	NA	NA	3
13	233	2004	Japan	Tohoku	1	-	NA	2	NA	NA	3
14	243	2004	Japan	Chubu	1	-	NA	2	NA	NA	3
15	267	2004	Japan	Kyushu	1	-	NA	2	NA	NA	3
16	285	2005	Japan	Kanto	1	-	NA	2	NA	NA	3
17	291	2005	Japan	Chubu	1	-	NA	2	NA	NA	3
18	292	2005	Japan	Chubu	1	-	NA	2	NA	NA	3
19	293	2005	Japan	Chubu	1	-	NA	2	NA	NA	3
20	299	2005	Japan	Kyushu	1	-	NA	2	NA	NA	3
21	302	2005	Japan	Kinki	1	-	NA	2	NA	NA	3
22	307	2006	Japan	Chubu	1	-	NA	2	NA	NA	3
23	310	2006	Japan	Tohoku	1	-	NA	2	NA	NA	3
24	313	2006	Japan	Kanto	1	-	NA	2	NA	NA	3
25	322	2006	Japan	Kanto	1	-	NA	2	NA	NA	3
26	323	2006	Japan	Kanto	1	-	NA	2	NA	NA	3
27	332	2006	Japan	Kinki	1	-	NA	2	NA	NA	3
28	333	2006	Japan	Kinki	1	-	NA	2	NA	NA	3
29	334	2006	Japan	Kinki	1	-	NA	2	NA	NA	3
30	314	2007	Japan	Kanto	1	-	NA	2	NA	NA	3
31	318	2007	Japan	Kanto	1	-	NA	2	NA	NA	3
32	346	2009	Japan	Chubu	1	-	NA	2	NA	NA	2,3
33	351	2009	Japan	Shikoku	1	-	NA	2	NA	NA	3
34	12	1990	Japan	Kinki	1	+	NA	1	NA	NA	3
35	28	1992	Japan	Kinki	1	+	NA	1	NA	NA	3
36	33	1994	Japan	Chugoku	1	+	NA	1	NA	NA	2
37	34	1994	Japan	Chugoku	2	+	NA	1	NA	NA	3
38	35	1994	Japan	Chugoku	1	+	NA	2	NA	NA	3
39	36	1994	Japan	Chugoku	2	+	NA	1	NA	NA	3
40	41	1994	Japan	Chugoku	1	+	NA	2	NA	NA	3
41	101	1994	Japan	Kanto	1	+	NA	2	NA	NA	3
42	5	1995	Japan	Kanto	1	+	NA	2	NA	NA	3
43	6	1995	Japan	Kanto	1	+	NA	1	NA	NA	3
44	32	1995	Japan	Kanto	1	+	NA	2	NA	NA	3
45	120	1995	Japan	Hokkaido	2	+	NA	1	NA	NA	3
46	193	1995	Japan	Kyusyu	1	+	NA	2	NA	NA	3
47	8	1996	Japan	Kanto	1	+	NA	2	NA	NA	3
48	9	1996	Japan	Kanto	1	+	NA	2	NA	NA	3
49	86	1996	Japan	Hokkaido	1	+	NA	2	NA	NA	3
50	88	1996	Japan	Kanto	1	+	NA	2	NA	NA	3
51	124	1996	Japan	Tohoku	1	+	NA	2	NA	NA	3
52	133	1996	Japan	Tohoku	1	+	NA	2	NA	NA	3
53	42	1997	Japan	Chugoku	1	+	NA	2	NA	NA	3
54	121	1998	Japan	Hokkaido	1	+	NA	2	NA	NA	2
55	56	1999	Japan	Kanto	1	+	NA	2	NA	NA	2
56	65	1999	Japan	Kinki	1	+	NA	2	NA	NA	3
57	103	1999	Japan	Kanto	2	+	NA	1	NA	NA	3
58	104	1999	Japan	Kanto	1	+	NA	2	NA	NA	3
59	117	1999	Japan	Kanto	1	+	NA	2	NA	NA	3
60	43	2000	Japan	Chugoku	1	+	NA	2	NA	NA	3
61	60	2000	Japan	Kanto	2	+	NA	1	NA	NA	3
62	106	2000	Japan	Kanto	2	+	NA	1	NA	NA	3
63	107	2000	Japan	Kanto	1	+	NA	2	NA	NA	3
64	113	2000	Japan	Kanto	2	+	NA	1	NA	NA	3
65	116	2000	Japan	Kanto	2	+	NA	1	NA	NA	3
66	123	2000	Japan	Tohoku	1	+	NA	2	NA	NA	3
67	134	2000	Japan	Tohoku	2	+	NA	1	NA	NA	3
68	119	2001	Japan	Kanto	1	+	NA	2	NA	NA	3
