strain_id	year_isolated	country	region	prn	prn_def	ptxP	ptxA	fim2	fim3	FIM_sero
1	BP285	2005	Japan	Kanto	1	–	NA	NA	NA	NA	NA
2	BP291	2005	Japan	Chubu	1	–	NA	NA	NA	NA	NA
3	BP292	2005	Japan	Chubu	1	–	NA	NA	NA	NA	NA
4	BP293	2005	Japan	Chubu	1	–	NA	NA	NA	NA	NA
5	BP299	2005	Japan	Kyusyu	1	–	NA	NA	NA	NA	NA
6	BP302	2005	Japan	Kinki	1	–	NA	NA	NA	NA	NA
7	BP307	2006	Japan	Chubu	1	–	NA	NA	NA	NA	NA
8	BP310	2006	Japan	Tohoku	1	–	NA	NA	NA	NA	NA
9	BP313	2006	Japan	Kanto	1	–	NA	NA	NA	NA	NA
10	BP322	2006	Japan	Kanto	1	–	NA	NA	NA	NA	NA
11	BP323	2006	Japan	Kanto	1	–	NA	NA	NA	NA	NA
12	BP332	2006	Japan	Kinki	1	–	NA	NA	NA	NA	NA
13	BP333	2006	Japan	Kinki	1	–	NA	NA	NA	NA	NA
14	BP334	2006	Japan	Kinki	1	–	NA	NA	NA	NA	NA
15	BP314	2007	Japan	Kanto	1	–	NA	NA	NA	NA	NA
16	BP318	2007	Japan	Kanto	1	–	NA	NA	NA	NA	NA
17	BP466	2008	Japan	Kanto	1	–	NA	NA	NA	NA	NA
18	BP469	2008	Japan	Kanto	1	–	NA	NA	NA	NA	NA
19	BP346	2009	Japan	Chubu	1	–	NA	NA	NA	NA	NA
20	BP351	2009	Japan	Shikoku	1	–	NA	NA	NA	NA	NA
21	BP458	2009	Japan	Kanto	1	–	NA	NA	NA	NA	NA
22	BP459	2009	Japan	Kanto	1	–	NA	NA	NA	NA	NA
23	BP460	2009	Japan	Kanto	1	–	NA	NA	NA	NA	NA
24	BP357	2010	Japan	Kanto	1	–	NA	NA	NA	NA	NA
25	BP358	2010	Japan	Kanto	1	–	NA	NA	NA	NA	NA
26	BP359	2010	Japan	Kanto	1	–	NA	NA	NA	NA	NA
27	BP360	2010	Japan	Kanto	1	–	NA	NA	NA	NA	NA
28	BP361	2010	Japan	Kanto	1	–	NA	NA	NA	NA	NA
29	BP363	2010	Japan	Kanto	1	–	NA	NA	NA	NA	NA
30	BP365	2010	Japan	Kanto	1	–	NA	NA	NA	NA	NA
31	BP366	2010	Japan	Kanto	1	–	NA	NA	NA	NA	NA
32	BP378	2011	Japan	Kyusyu	1	–	NA	NA	NA	NA	NA
33	BP390	2011	Japan	Kinki	1	–	NA	NA	NA	NA	NA
34	BP394	2011	Japan	Kyusyu	2	–	NA	NA	NA	NA	NA
35	BP395	2011	Japan	Kinki	1	–	NA	NA	NA	NA	NA
36	BP397	2011	Japan	Kinki	1	–	NA	NA	NA	NA	NA
37	BP398	2011	Japan	Kinki	1	–	NA	NA	NA	NA	NA
38	BP400	2011	Japan	Kinki	1	–	NA	NA	NA	NA	NA
39	BP401	2011	Japan	Kinki	1	–	NA	NA	NA	NA	NA
40	BP403	2011	Japan	Kinki	1	–	NA	NA	NA	NA	NA
41	BP417	2011	Japan	Kanto	1	–	NA	NA	NA	NA	NA
42	BP437	2011	Japan	Kinki	1	–	NA	NA	NA	NA	NA
43	BP438	2011	Japan	Kinki	1	–	NA	NA	NA	NA	NA
44	BP451	2011	Japan	Kinki	1	–	NA	NA	NA	NA	NA
45	BP452	2011	Japan	Kinki	1	–	NA	NA	NA	NA	NA
46	BP410	2012	Japan	Tohoku	1	–	NA	NA	NA	NA	NA
47	BP412	2012	Japan	Shikoku	1	–	NA	NA	NA	NA	NA
48	BP416	2012	Japan	Kanto	1	–	NA	NA	NA	NA	NA
49	BP418	2012	Japan	Kanto	1	–	NA	NA	NA	NA	NA
50	BP440	2012	Japan	Kinki	1	–	NA	NA	NA	NA	NA
51	BP442	2012	Japan	Kinki	1	–	NA	NA	NA	NA	NA
52	BP447	2012	Japan	Kyusyu	1	–	NA	NA	NA	NA	NA
53	BP478	2012	Japan	Kinki	1	–	NA	NA	NA	NA	NA
54	BP480	2013	Japan	Kinki	1	–	NA	NA	NA	NA	NA
