strain_id	year_isolated	country	region	prn	prn_def	ptxP	ptxA	fim2	fim3	FIM_sero
1	22/53	1953	Serbia	NA	1	NA	NA	2	NA	NA	2
2	124/54	1954	Serbia	NA	1	NA	NA	2	NA	NA	2
3	162/54	1954	Serbia	NA	1	NA	NA	2	NA	NA	2,3
4	177/54	1954	Serbia	NA	1	NA	NA	2	NA	NA	2,3
5	200/54	1954	Serbia	NA	1	NA	NA	2	NA	NA	2,3
6	38/54	1954	Serbia	NA	1	NA	NA	2	NA	NA	2
7	40/54	1954	Serbia	NA	1	NA	NA	2	NA	NA	2
8	515/55	1955	Serbia	NA	1	NA	NA	2	NA	NA	2
9	1078/56	1956	Serbia	NA	1	NA	NA	2	NA	NA	2,3
10	1499/56	1956	Serbia	NA	1	NA	NA	2	NA	NA	2,3
11	1496/57	1957	Serbia	NA	1	NA	NA	2	NA	NA	2
12	1611/57	1957	Serbia	NA	1	NA	NA	2	NA	NA	2
13	1714/57	1957	Serbia	NA	1	NA	NA	2	NA	NA	2,3
14	1772/57	1957	Serbia	NA	1	NA	NA	2	NA	NA	2,3
15	1828/57	1957	Serbia	NA	1	NA	NA	2	NA	NA	2,3
16	1881/57	1957	Serbia	NA	1	NA	NA	2	NA	NA	2,3
17	2047/57	1957	Serbia	NA	1	NA	NA	2	NA	NA	2,3
18	2048/57	1957	Serbia	NA	1	NA	NA	2	NA	NA	2
19	1997/58	1958	Serbia	NA	1	NA	NA	2	NA	NA	2,3
20	2154/58	1958	Serbia	NA	1	NA	NA	2	NA	NA	2,3
21	3008/60	1960	Serbia	NA	1	NA	NA	2	NA	NA	2,3
22	33/69	1969	Serbia	NA	1	NA	NA	1	NA	NA	3
23	90/69	1969	Serbia	NA	1	NA	NA	2	NA	NA	2,3
24	108/69	1969	Serbia	NA	1	NA	NA	2	NA	NA	2,3
25	122/69	1969	Serbia	NA	1	NA	NA	2	NA	NA	2,3
26	258/70	1970	Serbia	NA	1	NA	NA	2	NA	NA	2,3
27	487/71	1971	Serbia	NA	1	NA	NA	2	NA	NA	2,3
28	375/71	1971	Serbia	NA	1	NA	NA	1	NA	NA	2,3
29	849/73	1973	Serbia	NA	1	NA	NA	1	NA	NA	3
30	885/73	1973	Serbia	NA	1	NA	NA	1	NA	NA	3
31	55145/80	1980	Serbia	NA	1	NA	NA	1	NA	NA	3
32	59377/80	1980	Serbia	NA	1	NA	NA	1	NA	NA	3
33	23/81	1981	Serbia	NA	1	NA	NA	1	NA	NA	3
34	29/81	1981	Serbia	NA	1	NA	NA	1	NA	NA	3
35	30/81	1981	Serbia	NA	3	NA	NA	1	NA	NA	3
36	32/81	1981	Serbia	NA	1	NA	NA	1	NA	NA	3
37	40311/81	1981	Serbia	NA	1	NA	NA	1	NA	NA	3
38	1/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
39	2/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
40	3/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
41	4/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
42	5/84	1984	Serbia	NA	3	NA	NA	1	NA	NA	2
43	6/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
44	7/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
45	8/84	1984	Serbia	NA	2	NA	NA	1	NA	NA	2
46	9/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
47	10/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
48	11/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	3
49	12/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
50	14/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
51	15/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
52	17/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
53	18/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
54	20/84	1984	Serbia	NA	11	NA	NA	1	NA	NA	3
55	21/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	2
56	22/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	3
57	24/84	1984	Serbia	NA	1	NA	NA	1	NA	NA	3
58	28/85	1985	Serbia	NA	1	NA	NA	1	NA	NA	2
59	50042/86	1986	Serbia	NA	11	NA	NA	2	NA	NA	2
60	52121/86	1986	Serbia	NA	1	NA	NA	1	NA	NA	2
61	9783/87	1987	Serbia	NA	1	NA	NA	2	NA	NA	2
62	28270/89	1989	Serbia	NA	11	NA	NA	2	NA	NA	2
63	28756/89	1989	Serbia	NA	3	NA	NA	1	NA	NA	3
64	28928/89	1989	Serbia	NA	1	NA	NA	1	NA	NA	2
65	12/90	1990	Serbia	NA	11	NA	NA	2	NA	NA	2
66	51651/90	1990	Serbia	NA	11	NA	NA	2	NA	NA	2
67	52376/90	1990	Serbia	NA	1	NA	NA	1	NA	NA	2
68	53367/90	1990	Serbia	NA	1	NA	NA	1	NA	NA	2
69	9420/90	1990	Serbia	NA	1	NA	NA	1	NA	NA	2
70	53746/91	1991	Serbia	NA	1	NA	NA	1	NA	NA	2
71	1/00	2000	Serbia	NA	11	NA	NA	2	NA	NA	2
72	6/00	2000	Serbia	NA	3	NA	NA	1	NA	NA	3
73	7/00	2000	Serbia	NA	2	NA	NA	1	NA	NA	3
74	8/00	2000	Serbia	NA	2	NA	NA	1	NA	NA	3
