strain_id	year_isolated	country	region	prn	prn_def	ptxP	ptxA	fim2	fim3	FIM_sero
1	B199	1935	US	Pennsylvania	1	NA	1	4	NA	1	NA
2	B200	1935	US	US	1	NA	1	4	NA	1	NA
3	B203	1939	US	Michigan	1	NA	1	4	NA	1	NA
4	B202	1946	US	Pennsylvania	1	NA	1	2	NA	1	NA
5	B201	1955	US	Indiana	1	NA	1	2	NA	1	NA
6	B283	1958	US	Oregon	1	NA	1	2	NA	1	NA
7	B284	1960	US	North Carolina	1	NA	1	2	NA	1	NA
8	B286	1962	US	Florida	1	NA	1	2	NA	1	NA
9	B287	1962	US	Florida	1	NA	1	2	NA	1	NA
10	B288	1962	US	Florida	1	NA	1	2	NA	1	NA
11	B307	1964	US	New Jersey	1	NA	1	2	NA	1	NA
12	B291	1964	US	Texas	1	NA	1	2	NA	1	NA
13	B293	1966	US	Colorado	1	NA	1	2	NA	1	NA
14	B294	1966	US	New Jersey	1	NA	1	2	NA	1	NA
15	B308	1967	US	Texas	1	NA	1	2	NA	1	NA
16	B297	1968	US	Florida	1	NA	1	2	NA	1	NA
17	B415	1968	US	Florida	1	NA	1	2	NA	1	NA
18	B298	1968	US	Oregon	1	NA	1	2	NA	1	NA
19	B299	1968	US	Oregon	1	NA	1	2	NA	1	NA
20	B303	1970	US	Colorado	1	NA	1	1	NA	1	NA
21	B302	1971	US	Alabama	1	NA	1	2	NA	1	NA
22	B417	1971	US	Indiana	1	NA	1	2	NA	1	NA
23	B304	1971	US	Montana	1	NA	1	2	NA	1	NA
24	B416	1971	US	Montana	1	NA	1	2	NA	1	NA
25	B427	1974	US	Arizona	1	NA	1	2	NA	1	NA
26	B428	1974	US	Kansas	1	NA	1	2	NA	1	NA
27	B429	1975	US	Alabama	1	NA	1	2	NA	1	NA
28	B229	1975	US	Texas	1	NA	1	1	NA	1	NA
29	B230	1975	US	Texas	1	NA	1	1	NA	1	NA
30	B312	1977	US	Georgia	1	NA	1	2	NA	1	NA
31	B321	1977	US	Georgia	1	NA	1	2	NA	1	NA
32	B329	1977	US	Georgia	1	NA	1	2	NA	1	NA
33	B344	1977	US	Georgia	1	NA	1	2	NA	1	NA
34	B350	1977	US	Georgia	1	NA	1	2	NA	1	NA
35	B431	1977	US	Nebraska	1	NA	1	2	NA	1	NA
36	B211	1977	US	North Carolina	1	NA	1	2	NA	1	NA
37	B212	1977	US	North Carolina	1	NA	1	2	NA	1	NA
38	B214	1977	US	North Carolina	1	NA	1	2	NA	1	NA
39	B215	1977	US	North Carolina	1	NA	1	2	NA	1	NA
40	B225	1977	US	North Carolina	1	NA	1	2	NA	1	NA
41	B432	1977	US	Pennsylvania	1	NA	1	1	NA	1	NA
42	B159	1978	US	Alaska	1	NA	1	2	NA	1	NA
43	B440	1978	US	Arkansas	1	NA	1	2	NA	1	NA
44	B437	1978	US	Oregon	1	NA	1	2	NA	1	NA
45	B438	1978	US	Oregon	1	NA	1	2	NA	1	NA
46	B439	1978	US	Pennsylvania	1	NA	1	1	NA	1	NA
